"","V1","V2","V3","category","expenditure","income"
"1","101021","1","1",2,13,204.204
"2","101021","1","1",3,17.76,204.204
"3","101021","1","1",5,1.5,204.204
"4","101021","1","1",7,8.61,204.204
"5","101021","1","1",12,2.25,204.204
"6","101021","2","1",3,6.56,204.204
"7","101021","2","1",4,20.6,204.204
"8","101021","2","1",8,1,204.204
"9","101021","2","1",10,1.99,204.204
"10","101021","2","1",13,5,204.204
"11","101031","1","1",2,25,134
"12","101031","1","1",3,14.88,134
"13","101031","1","1",7,10.12,134
"14","101031","1","1",9,1.49,134
"15","101031","1","1",12,1.17,134
"16","101051","1","1",2,70.22,120.504
"17","101051","1","1",11,1,120.504
"18","101051","1","1",12,1.25,120.504
"19","101051","1","1",13,2,120.504
"20","101051","2","1",3,27.09,120.504
"21","101051","2","1",7,4.88,120.504
"22","101051","2","1",11,6,120.504
"23","101051","2","1",13,3.55,120.504
"24","101051","2","1",14,1.5,120.504
"25","101061","1","1",3,20.06,429.369
"26","101061","1","1",4,6.72,429.369
"27","101061","1","1",7,3.93,429.369
"28","101061","1","1",9,4.26,429.369
"29","101061","1","1",10,15,429.369
"30","101061","1","1",12,2.75,429.369
"31","101061","1","1",13,9.2,429.369
"32","101061","2","1",3,32.26,429.369
"33","101061","2","1",5,15,429.369
"34","101061","2","1",6,11.89,429.369
"35","101061","2","1",7,59.76,429.369
"36","101061","2","1",8,0.7,429.369
"37","101061","2","1",9,1.29,429.369
"38","101061","2","1",13,1,429.369
"39","101061","3","1",3,17.67,429.369
"40","101061","3","1",4,33,429.369
"41","101061","3","1",5,8,429.369
"42","101061","3","1",8,5,429.369
"43","101061","3","1",10,15,429.369
"44","101061","3","1",13,3,429.369
"45","101071","1","1",3,22.69,125.462
"46","101071","1","1",7,1.83,125.462
"47","101071","1","1",9,2.05,125.462
"48","101071","1","1",12,2.51,125.462
"49","101081","1","1",3,43.6,72.927
"50","101081","1","1",6,20.98,72.927
"51","101081","1","1",7,34.99,72.927
"52","101081","1","1",8,0.26,72.927
"53","101081","1","1",12,0.6,72.927
"54","101081","1","1",13,3,72.927
"55","101081","1","1",14,1,72.927
"56","101091","1","1",3,12.04,360.48
"57","101091","1","1",11,5.5,360.48
"58","101091","1","1",12,70.1,360.48
"59","101091","1","1",13,10,360.48
"60","101091","2","1",3,103.58,360.48
"61","101091","2","1",4,4.99,360.48
"62","101091","2","1",6,24.97,360.48
"63","101091","2","1",7,8.89,360.48
"64","101091","2","1",11,4,360.48
"65","101091","2","1",12,15.79,360.48
"66","101091","3","1",3,3.15,360.48
"67","101091","3","1",11,3,360.48
"68","101091","3","1",12,1.8,360.48
"69","101111","1","1",3,29.66,99.732
"70","101111","1","1",6,2,99.732
"71","101111","1","1",7,1.69,99.732
"72","101111","1","1",9,3.28,99.732
"73","101111","1","1",11,10,99.732
"74","101111","1","1",12,4.4,99.732
"75","101111","1","1",13,18.7,99.732
"76","101121","1","1",3,5.4,321.462
"77","101121","1","1",10,23.2,321.462
"78","101121","1","1",12,2.55,321.462
"79","101121","1","1",13,2.35,321.462
"80","101121","2","1",3,38.28,321.462
"81","101121","2","1",6,29,321.462
"82","101121","2","1",7,5.55,321.462
"83","101121","2","1",9,8.38,321.462
"84","101121","2","1",11,4.94,321.462
"85","101121","2","1",12,5.16,321.462
"86","101121","2","1",13,2,321.462
"87","101131","1","1",1,0.8,400.45
"88","101131","1","1",3,4.31,400.45
"89","101131","1","1",4,12.25,400.45
"90","101131","1","1",10,5,400.45
"91","101131","1","1",12,4.27,400.45
"92","101131","1","1",13,6,400.45
"93","101131","2","1",3,10.93,400.45
"94","101131","2","1",6,10,400.45
"95","101131","2","1",7,5,400.45
"96","101131","2","1",9,2.49,400.45
"97","101131","2","1",10,1.8,400.45
"98","101131","2","1",11,3.05,400.45
"99","101131","2","1",12,5,400.45
"100","101131","3","1",3,7.11,400.45
"101","101131","3","1",12,14.49,400.45
"102","101141","1","1",8,0.26,191.064
"103","101141","1","1",9,4.27,191.064
"104","101141","1","1",10,14.5,191.064
"105","101141","1","1",13,6,191.064
"106","101141","2","1",3,35.31,191.064
"107","101141","2","1",6,1,191.064
"108","101141","2","1",7,2.37,191.064
"109","101141","2","1",8,2.8,191.064
"110","101141","2","1",9,1.99,191.064
"111","101141","2","1",12,11.71,191.064
"112","101141","2","1",13,7,191.064
"113","101141","2","1",14,20,191.064
"114","101151","1","1",3,23.07,257.89
"115","101151","1","1",6,40,257.89
"116","101151","1","1",7,9.4,257.89
"117","101151","1","1",11,30.75,257.89
"118","101151","1","1",12,2.66,257.89
"119","101151","1","1",14,25,257.89
"120","101151","2","1",3,30.02,257.89
"121","101151","2","1",6,250,257.89
"122","101151","2","1",12,1.99,257.89
"123","101151","2","1",13,30,257.89
"124","101171","1","1",3,25.79,85.557
"125","101171","1","1",7,10.34,85.557
"126","101171","1","1",9,0.52,85.557
"127","101171","1","1",12,5.95,85.557
"128","101171","1","1",13,2,85.557
"129","102021","1","1",3,6.1,184.99
"130","102021","1","1",10,24.8,184.99
"131","102021","2","1",3,46.05,184.99
"132","102021","2","1",4,3.49,184.99
"133","102021","2","1",5,28,184.99
"134","102021","2","1",6,3.99,184.99
"135","102021","2","1",7,9.41,184.99
"136","102021","2","1",8,2.6,184.99
"137","102021","2","1",9,1.12,184.99
"138","102021","2","1",11,2.36,184.99
"139","102021","2","1",13,1,184.99
"140","102021","2","1",14,1.2,184.99
"141","102061","1","1",3,26.85,71.922
"142","102061","1","1",6,9.99,71.922
"143","102061","1","1",7,0.99,71.922
"144","102061","1","1",11,0.5,71.922
"145","102081","1","1",1,2.5,655.79
"146","102081","1","1",3,0.3,655.79
"147","102081","1","1",4,13.46,655.79
"148","102081","1","1",10,43,655.79
"149","102081","2","1",3,27.6,655.79
"150","102081","2","1",6,0.99,655.79
"151","102081","2","1",7,6.19,655.79
"152","102081","2","1",9,5.23,655.79
"153","102081","2","1",10,20,655.79
"154","102081","2","1",12,26.47,655.79
"155","102081","3","1",3,28,655.79
"156","102081","3","1",13,2,655.79
"157","102111","1","1",3,1.61,475.01
"158","102111","1","1",4,11.07,475.01
"159","102111","1","1",11,19.25,475.01
"160","102111","1","1",12,2.64,475.01
"161","102111","1","1",13,25.55,475.01
"162","102111","1","1",14,3,475.01
"163","102111","2","1",3,49.59,475.01
"164","102111","2","1",5,3.63,475.01
"165","102111","2","1",7,15.57,475.01
"166","102111","2","1",9,12.76,475.01
"167","102111","2","1",12,7.24,475.01
"168","102111","2","1",14,2.2,475.01
"169","102121","1","1",2,10,67.5
"170","102121","1","1",3,21.83,67.5
"171","102121","1","1",4,2.4,67.5
"172","102121","1","1",7,5.68,67.5
"173","102121","1","1",12,2.22,67.5
"174","102121","1","1",13,1,67.5
"175","102151","1","1",3,20.94,159.234
"176","102151","1","1",4,5.8,159.234
"177","102151","1","1",7,48.65,159.234
"178","102151","1","1",8,6,159.234
"179","102151","1","1",11,0.6,159.234
"180","102151","1","1",12,2.65,159.234
"181","102151","1","1",13,20.1,159.234
"182","102151","1","1",14,20,159.234
"183","102161","1","1",3,27.17,206.37
"184","102161","1","1",4,7.68,206.37
"185","102161","1","1",6,2.99,206.37
"186","102161","1","1",7,10,206.37
"187","102161","1","1",10,15,206.37
"188","102161","1","1",12,16.07,206.37
"189","102161","1","1",13,2,206.37
"190","102161","2","1",3,54.74,206.37
"191","102161","2","1",4,13.88,206.37
"192","102161","2","1",5,16.8,206.37
"193","102161","2","1",6,4.98,206.37
"194","102161","2","1",7,28.88,206.37
"195","102161","2","1",8,4.63,206.37
"196","102161","2","1",9,0.85,206.37
"197","102161","2","1",12,1.69,206.37
"198","102161","2","1",13,2,206.37
"199","102161","2","1",14,7,206.37
"200","102161","3","1",3,30.17,206.37
"201","102161","3","1",4,90,206.37
"202","102161","3","1",5,20.6,206.37
"203","102161","3","1",6,5.97,206.37
"204","102161","3","1",8,10,206.37
"205","102161","3","1",9,26,206.37
"206","102161","3","1",11,35.22,206.37
"207","102161","3","1",12,4.82,206.37
"208","102161","3","1",14,1,206.37
"209","102171","1","1",3,44.18,495.28
"210","102171","1","1",8,0.54,495.28
"211","102171","1","1",10,20,495.28
"212","102171","1","1",12,2.02,495.28
"213","102171","1","1",13,2,495.28
"214","102171","2","1",1,4,495.28
"215","102171","2","1",3,91.84,495.28
"216","102171","2","1",4,10.97,495.28
"217","102171","2","1",6,3,495.28
"218","102171","2","1",7,11.47,495.28
"219","102171","2","1",8,2.58,495.28
"220","102171","2","1",9,4.37,495.28
"221","102171","2","1",12,16.1,495.28
"222","102171","2","1",13,9,495.28
"223","102171","2","1",14,2,495.28
"224","102171","3","1",3,11.41,495.28
"225","102171","3","1",9,1.99,495.28
"226","102171","3","1",12,0.29,495.28
"227","102171","4","1",3,11.06,495.28
"228","102171","4","1",9,3.98,495.28
"229","102171","4","1",12,0.29,495.28
"230","103011","1","1",3,94.2,278.17
"231","103011","1","1",4,13.37,278.17
"232","103011","1","1",5,20.7,278.17
"233","103011","1","1",6,4,278.17
"234","103011","1","1",12,0.9,278.17
"235","103011","1","1",13,4,278.17
"236","103011","2","1",3,13.57,278.17
"237","103011","2","1",5,18.9,278.17
"238","103011","2","1",6,39.98,278.17
"239","103011","2","1",11,3,278.17
"240","103011","2","1",12,0.6,278.17
"241","103011","2","1",13,1,278.17
"242","103011","3","1",3,9.43,278.17
"243","103011","3","1",12,3,278.17
"244","103011","4","1",3,6.48,278.17
"245","103011","4","1",5,2.5,278.17
"246","103011","4","1",12,0.3,278.17
"247","103021","1","1",2,15,189.792
"248","103021","1","1",3,8.14,189.792
"249","103021","1","1",5,8.32,189.792
"250","103021","1","1",13,4,189.792
"251","103021","2","1",3,55.9,189.792
"252","103021","2","1",7,3.34,189.792
"253","103021","2","1",12,2.15,189.792
"254","103021","2","1",13,150,189.792
"255","103021","3","1",3,1.99,189.792
"256","103021","3","1",6,28.99,189.792
"257","103021","4","1",3,9.69,189.792
"258","103021","4","1",6,2,189.792
"259","103021","4","1",12,12.99,189.792
"260","103061","1","1",1,1.5,215.502
"261","103061","1","1",3,17.1,215.502
"262","103061","1","1",7,115.84,215.502
"263","103061","1","1",8,4.56,215.502
"264","103061","1","1",11,0.7,215.502
"265","103061","1","1",12,2.76,215.502
"266","103061","1","1",13,9,215.502
"267","103071","1","1",3,7.14,560.27
"268","103071","1","1",4,34.65,560.27
"269","103071","1","1",5,9.4,560.27
"270","103071","1","1",7,0.39,560.27
"271","103071","1","1",8,10,560.27
"272","103071","1","1",11,8.75,560.27
"273","103071","1","1",12,0.6,560.27
"274","103071","1","1",13,1,560.27
"275","103071","1","1",14,27,560.27
"276","103071","2","1",2,11,560.27
"277","103071","2","1",3,50,560.27
"278","103071","2","1",7,2.45,560.27
"279","103071","2","1",12,5.51,560.27
"280","103071","2","1",14,3,560.27
"281","103071","3","1",3,7.15,560.27
"282","103071","3","1",4,25,560.27
"283","103071","3","1",5,5.2,560.27
"284","103071","3","1",11,32,560.27
"285","103071","4","1",3,16.29,560.27
"286","103071","4","1",6,94,560.27
"287","103071","4","1",13,1.8,560.27
"288","103071","5","1",3,11.77,560.27
"289","103071","5","1",11,1.6,560.27
"290","103081","1","1",3,12.11,96.922
"291","103081","1","1",7,3.7,96.922
"292","103081","1","1",12,0.6,96.922
"293","103101","1","1",3,25.24,82.642
"294","103101","1","1",4,2.82,82.642
"295","103101","1","1",7,0.65,82.642
"296","103101","1","1",10,6,82.642
"297","103101","1","1",12,8.15,82.642
"298","103101","1","1",13,2,82.642
"299","103111","1","1",1,1,525.812
"300","103111","1","1",3,35.53,525.812
"301","103111","1","1",4,14.36,525.812
"302","103111","1","1",5,20,525.812
"303","103111","1","1",7,3.25,525.812
"304","103111","1","1",10,30,525.812
"305","103111","1","1",12,5.05,525.812
"306","103111","1","1",13,34,525.812
"307","103111","2","1",1,1.49,525.812
"308","103111","2","1",3,21.71,525.812
"309","103111","2","1",6,25.97,525.812
"310","103111","2","1",7,1.79,525.812
"311","103111","2","1",9,3.23,525.812
"312","103111","2","1",12,0.48,525.812
"313","103111","2","1",13,6,525.812
"314","103111","2","1",14,4,525.812
"315","103141","1","1",3,28.9,147
"316","103141","1","1",7,2.63,147
"317","103141","1","1",8,2.5,147
"318","103141","1","1",9,6.99,147
"319","103141","1","1",10,16.99,147
"320","103141","1","1",12,3.74,147
"321","103141","1","1",13,9.5,147
"322","103161","1","1",1,26.05,552.146
"323","103161","1","1",3,103.09,552.146
"324","103161","1","1",4,28.6,552.146
"325","103161","1","1",6,4,552.146
"326","103161","1","1",7,1.99,552.146
"327","103161","1","1",8,52,552.146
"328","103161","1","1",9,4,552.146
"329","103161","1","1",10,59.08,552.146
"330","103161","1","1",11,14,552.146
"331","103161","1","1",12,9.22,552.146
"332","103161","1","1",13,256,552.146
"333","103161","2","1",3,18.02,552.146
"334","103161","2","1",9,7.08,552.146
"335","103161","2","1",12,10,552.146
"336","103161","2","1",13,3,552.146
"337","103161","3","1",3,15.23,552.146
"338","103161","3","1",12,5,552.146
"339","103161","3","1",13,2.7,552.146
"340","104011","1","1",3,17.37,81.042
"341","104011","1","1",6,8.99,81.042
"342","104011","1","1",7,5,81.042
"343","104011","1","1",9,14.38,81.042
"344","104011","1","1",11,4.45,81.042
"345","104011","1","1",12,2.38,81.042
"346","104011","1","1",13,40.08,81.042
"347","104021","1","1",3,25.16,397.523
"348","104021","1","1",4,35.25,397.523
"349","104021","1","1",5,8.18,397.523
"350","104021","1","1",7,1.05,397.523
"351","104021","1","1",9,3.04,397.523
"352","104021","1","1",10,25,397.523
"353","104021","1","1",12,2.78,397.523
"354","104041","1","1",2,5,113.69
"355","104041","1","1",3,23.26,113.69
"356","104041","1","1",7,0.62,113.69
"357","104041","1","1",11,7.15,113.69
"358","104041","1","1",12,1.68,113.69
"359","104041","1","1",14,12.5,113.69
"360","104041","2","1",3,0.64,113.69
"361","104041","2","1",11,3.6,113.69
"362","104041","2","1",12,0.69,113.69
"363","104041","3","1",3,6.22,113.69
"364","104041","3","1",4,4.88,113.69
"365","104041","3","1",7,0.59,113.69
"366","104061","1","1",2,10,570.49
"367","104061","1","1",3,17.34,570.49
"368","104061","1","1",7,12.49,570.49
"369","104061","1","1",8,2.5,570.49
"370","104061","1","1",10,10,570.49
"371","104061","1","1",12,23.98,570.49
"372","104061","1","1",13,8,570.49
"373","104061","1","1",14,8.65,570.49
"374","104061","2","1",3,33.48,570.49
"375","104061","2","1",5,41,570.49
"376","104061","2","1",7,6.57,570.49
"377","104061","2","1",9,2.4,570.49
"378","104061","2","1",10,10,570.49
"379","104061","2","1",12,66.15,570.49
"380","104061","2","1",13,5,570.49
"381","104061","2","1",14,130.5,570.49
"382","104061","3","1",3,16.98,570.49
"383","104061","3","1",6,4.98,570.49
"384","104061","3","1",11,9.35,570.49
"385","104061","3","1",13,20,570.49
"386","104061","4","1",3,14.37,570.49
"387","104061","4","1",9,0.78,570.49
"388","104061","5","1",3,7.79,570.49
"389","104061","5","1",9,1.98,570.49
"390","104061","5","1",11,8.5,570.49
"391","104061","5","1",12,5.87,570.49
"392","104061","5","1",13,0.2,570.49
"393","104081","1","1",2,13,132.12
"394","104081","1","1",3,37.07,132.12
"395","104081","1","1",7,1.35,132.12
"396","104081","1","1",8,1.5,132.12
"397","104081","1","1",11,0.3,132.12
"398","104081","1","1",12,2.06,132.12
"399","104081","1","1",13,4,132.12
"400","104101","1","1",3,8.99,487.616
"401","104101","1","1",4,6.19,487.616
"402","104101","1","1",12,2.23,487.616
"403","104101","1","1",13,7,487.616
"404","104101","2","1",2,20,487.616
"405","104101","2","1",3,57.96,487.616
"406","104101","2","1",4,1.29,487.616
"407","104101","2","1",5,4.1,487.616
"408","104101","2","1",6,20,487.616
"409","104101","2","1",7,5.31,487.616
"410","104101","2","1",9,0.99,487.616
"411","104101","2","1",11,17.9,487.616
"412","104101","2","1",12,4.23,487.616
"413","104101","2","1",13,13,487.616
"414","104101","3","1",3,1.28,487.616
"415","104101","3","1",4,35.8,487.616
"416","104101","3","1",5,6.76,487.616
"417","104101","3","1",11,12.9,487.616
"418","104101","3","1",12,0.32,487.616
"419","104101","3","1",13,2,487.616
"420","104101","4","1",3,12.32,487.616
"421","104101","4","1",7,5,487.616
"422","104101","4","1",11,2.7,487.616
"423","104101","4","1",12,1.09,487.616
"424","104101","4","1",13,3,487.616
"425","104121","1","1",1,0.75,86.442
"426","104121","1","1",2,22,86.442
"427","104121","1","1",3,31.44,86.442
"428","104121","1","1",6,24.97,86.442
"429","104121","1","1",7,7.86,86.442
"430","104121","1","1",9,2.08,86.442
"431","104121","1","1",12,1.7,86.442
"432","104121","1","1",13,5,86.442
"433","104121","1","1",14,5,86.442
"434","104161","1","1",3,12.85,417.76
"435","104161","1","1",4,4,417.76
"436","104161","1","1",11,7.15,417.76
"437","104161","1","1",12,1.85,417.76
"438","104161","1","1",13,3,417.76
"439","104161","1","1",14,1,417.76
"440","104161","2","1",2,20,417.76
"441","104161","2","1",3,55.5,417.76
"442","104161","2","1",4,30.35,417.76
"443","104161","2","1",5,6.1,417.76
"444","104161","2","1",6,12.38,417.76
"445","104161","2","1",7,224.38,417.76
"446","104161","2","1",8,10,417.76
"447","104161","2","1",9,3.98,417.76
"448","104161","2","1",11,4.8,417.76
"449","104161","2","1",12,118.67,417.76
"450","104161","2","1",13,4,417.76
"451","104161","3","1",3,3.43,417.76
"452","104161","3","1",11,0.8,417.76
"453","104161","3","1",12,1.35,417.76
"454","104161","4","1",3,0.5,417.76
"455","105011","1","1",3,36.71,149.81
"456","105011","1","1",6,0.99,149.81
"457","105011","1","1",7,2.2,149.81
"458","105011","1","1",11,0.9,149.81
"459","105011","1","1",12,0.3,149.81
"460","105011","1","1",14,38.3,149.81
"461","105011","2","1",3,9.15,149.81
"462","105011","2","1",9,2,149.81
"463","105011","2","1",11,6,149.81
"464","105011","2","1",13,1,149.81
"465","105011","3","1",3,5.27,149.81
"466","105011","3","1",11,3,149.81
"467","105011","4","1",3,2.45,149.81
"468","105011","4","1",8,4,149.81
"469","105011","4","1",11,2,149.81
"470","105011","4","1",13,2,149.81
"471","105021","1","1",3,5.65,208.842
"472","105021","1","1",4,30,208.842
"473","105021","1","1",12,2.1,208.842
"474","105021","1","1",13,26,208.842
"475","105021","2","1",3,75.09,208.842
"476","105021","2","1",7,15.52,208.842
"477","105021","2","1",8,1.7,208.842
"478","105021","2","1",9,31.88,208.842
"479","105021","2","1",11,1.8,208.842
"480","105021","2","1",12,1.2,208.842
"481","105051","1","1",3,20.25,289.437
"482","105051","1","1",4,1.99,289.437
"483","105051","1","1",5,10.57,289.437
"484","105051","1","1",7,2.99,289.437
"485","105051","1","1",9,2.98,289.437
"486","105051","1","1",11,4.47,289.437
"487","105051","1","1",12,1.26,289.437
"488","105051","1","1",14,5,289.437
"489","105051","2","1",2,10,289.437
"490","105051","2","1",3,37.1,289.437
"491","105051","2","1",5,14.52,289.437
"492","105051","2","1",6,19,289.437
"493","105051","2","1",7,6.02,289.437
"494","105051","2","1",8,20,289.437
"495","105051","2","1",9,20.11,289.437
"496","105051","2","1",11,13.9,289.437
"497","105051","2","1",12,3.18,289.437
"498","105051","2","1",13,2,289.437
"499","105051","2","1",14,20,289.437
"500","105061","1","1",3,24.63,90.177
"501","105061","1","1",4,1.89,90.177
"502","105061","1","1",6,15.99,90.177
"503","105061","1","1",8,6.26,90.177
"504","105061","1","1",9,6.17,90.177
"505","105061","1","1",11,0.9,90.177
"506","105061","1","1",13,33.35,90.177
"507","105091","1","1",3,20.68,228.17
"508","105091","1","1",4,9,228.17
"509","105091","1","1",7,4.18,228.17
"510","105091","1","1",11,3.26,228.17
"511","105091","1","1",12,2.35,228.17
"512","105091","1","1",13,5.5,228.17
"513","105091","1","1",14,7.9,228.17
"514","105101","1","1",3,11.69,62.93
"515","105101","1","1",7,0.4,62.93
"516","105101","1","1",9,0.75,62.93
"517","105101","1","1",12,0.7,62.93
"518","105101","1","1",13,2,62.93
"519","105161","1","1",3,16.49,700.057
"520","105161","1","1",7,0.58,700.057
"521","105161","1","1",9,2.78,700.057
"522","105161","1","1",12,2.64,700.057
"523","105161","1","1",13,46.45,700.057
"524","105161","2","1",3,21.04,700.057
"525","105161","2","1",6,92.9,700.057
"526","105161","2","1",12,0.99,700.057
"527","106011","1","1",3,22.6,468.195
"528","106011","1","1",7,4.13,468.195
"529","106011","1","1",9,6,468.195
"530","106011","1","1",10,26.48,468.195
"531","106011","1","1",12,1.78,468.195
"532","106021","1","1",4,10.4,421.142
"533","106021","1","1",5,14.36,421.142
"534","106021","1","1",10,10,421.142
"535","106021","1","1",13,40.2,421.142
"536","106021","1","1",14,3,421.142
"537","106021","2","1",2,30,421.142
"538","106021","2","1",3,80.57,421.142
"539","106021","2","1",5,7.18,421.142
"540","106021","2","1",6,33.32,421.142
"541","106021","2","1",7,6.11,421.142
"542","106021","2","1",8,5,421.142
"543","106021","2","1",9,4.79,421.142
"544","106021","2","1",10,65.7,421.142
"545","106021","2","1",12,2.35,421.142
"546","106021","2","1",13,4,421.142
"547","106021","2","1",14,51,421.142
"548","106021","3","1",3,6.94,421.142
"549","106021","3","1",7,0.6,421.142
"550","106021","3","1",12,4.98,421.142
"551","106021","4","1",3,3.31,421.142
"552","106021","4","1",12,2.7,421.142
"553","106021","4","1",13,1.2,421.142
"554","106021","5","1",3,2.86,421.142
"555","106021","5","1",12,2.5,421.142
"556","106031","1","1",3,35.3,325.63
"557","106031","1","1",8,4.5,325.63
"558","106031","1","1",10,5,325.63
"559","106031","1","1",12,1.5,325.63
"560","106031","1","1",14,29.67,325.63
"561","106031","2","1",3,6.24,325.63
"562","106031","2","1",7,3.99,325.63
"563","106031","2","1",8,0.1,325.63
"564","106031","2","1",11,4.12,325.63
"565","106031","2","1",12,17.29,325.63
"566","106031","3","1",3,3.89,325.63
"567","106031","3","1",7,0.79,325.63
"568","106031","3","1",11,2.25,325.63
"569","106031","3","1",12,5,325.63
"570","106041","1","1",3,6.73,1155.63
"571","106041","1","1",6,35,1155.63
"572","106041","1","1",8,24,1155.63
"573","106041","1","1",12,15,1155.63
"574","106041","1","1",13,2,1155.63
"575","106041","1","1",14,521.79,1155.63
"576","106041","2","1",3,81.84,1155.63
"577","106041","2","1",4,5.5,1155.63
"578","106041","2","1",7,24.62,1155.63
"579","106041","2","1",9,14.94,1155.63
"580","106041","2","1",11,209,1155.63
"581","106041","2","1",12,34.56,1155.63
"582","106041","2","1",13,3,1155.63
"583","106041","2","1",14,13,1155.63
"584","106041","3","1",3,8.39,1155.63
"585","106041","3","1",4,12.18,1155.63
"586","106041","3","1",6,7.99,1155.63
"587","106041","3","1",11,4.9,1155.63
"588","106041","3","1",13,18.9,1155.63
"589","106041","4","1",3,8.56,1155.63
"590","106041","4","1",7,1.75,1155.63
"591","106041","4","1",11,2.25,1155.63
"592","106041","4","1",12,3.48,1155.63
"593","106051","1","1",3,2.65,328.674
"594","106051","1","1",10,42,328.674
"595","106051","1","1",11,0.45,328.674
"596","106051","1","1",12,3.05,328.674
"597","106051","2","1",3,68.07,328.674
"598","106051","2","1",4,4,328.674
"599","106051","2","1",6,5.99,328.674
"600","106051","2","1",7,13.48,328.674
"601","106051","2","1",8,5.8,328.674
"602","106051","2","1",9,5,328.674
"603","106051","2","1",11,0.9,328.674
"604","106051","2","1",12,1.25,328.674
"605","106051","2","1",13,11.3,328.674
"606","106051","2","1",14,26.95,328.674
"607","106071","1","1",1,1,187.937
"608","106071","1","1",3,16.02,187.937
"609","106071","1","1",6,8.99,187.937
"610","106071","1","1",7,3.72,187.937
"611","106071","1","1",11,16.6,187.937
"612","106071","1","1",12,4.57,187.937
"613","106071","1","1",13,4.5,187.937
"614","106091","1","1",3,23.35,534.55
"615","106091","1","1",4,23.5,534.55
"616","106091","1","1",5,11.13,534.55
"617","106091","1","1",6,70,534.55
"618","106091","1","1",13,17,534.55
"619","106091","2","1",3,44.52,534.55
"620","106091","2","1",4,80,534.55
"621","106091","2","1",6,19,534.55
"622","106091","2","1",7,9.68,534.55
"623","106091","2","1",9,8.99,534.55
"624","106131","1","1",3,54.89,545.414
"625","106131","1","1",4,5,545.414
"626","106131","1","1",5,23.15,545.414
"627","106131","1","1",6,1.89,545.414
"628","106131","1","1",7,14.59,545.414
"629","106131","1","1",9,22.09,545.414
"630","106131","1","1",11,10,545.414
"631","106131","1","1",12,5.48,545.414
"632","106131","1","1",13,47.1,545.414
"633","106131","1","1",14,12.5,545.414
"634","106131","2","1",3,6,545.414
"635","106131","2","1",4,20,545.414
"636","106131","2","1",8,10,545.414
"637","106131","2","1",9,5,545.414
"638","106131","2","1",11,12,545.414
"639","106141","1","1",1,13.35,80.562
"640","106141","1","1",2,14.3,80.562
"641","106141","1","1",3,12.24,80.562
"642","106141","1","1",5,3.8,80.562
"643","106141","1","1",7,7.26,80.562
"644","106141","1","1",8,6,80.562
"645","106141","1","1",11,0.5,80.562
"646","106141","1","1",12,0.35,80.562
"647","106141","1","1",13,1,80.562
"648","106151","1","1",3,19.9,567.59
"649","106151","1","1",4,11.68,567.59
"650","106151","1","1",5,43.72,567.59
"651","106151","1","1",7,2.49,567.59
"652","106151","1","1",9,6.85,567.59
"653","106151","1","1",10,20.1,567.59
"654","106151","1","1",11,3.13,567.59
"655","106151","1","1",12,0.95,567.59
"656","106151","1","1",13,1,567.59
"657","106151","2","1",3,37.01,567.59
"658","106151","2","1",4,12.5,567.59
"659","106151","2","1",5,3.34,567.59
"660","106151","2","1",6,27.5,567.59
"661","106151","2","1",7,6.11,567.59
"662","106151","2","1",9,0.43,567.59
"663","106151","2","1",11,4.12,567.59
"664","106151","2","1",12,0.99,567.59
"665","106151","2","1",14,24,567.59
"666","106151","3","1",3,16.19,567.59
"667","106151","3","1",4,26.66,567.59
"668","106151","3","1",6,39.98,567.59
"669","106151","3","1",8,15,567.59
"670","106151","3","1",11,10.15,567.59
"671","106151","3","1",12,13.99,567.59
"672","106151","3","1",13,13.85,567.59
"673","106151","4","1",3,2.35,567.59
"674","106151","4","1",6,0.99,567.59
"675","106151","4","1",7,2.98,567.59
"676","106151","4","1",9,0.7,567.59
"677","106151","4","1",12,1.83,567.59
"678","106161","1","1",3,64.03,497.884
"679","106161","1","1",6,60.95,497.884
"680","106161","1","1",7,26.49,497.884
"681","106161","1","1",8,40.56,497.884
"682","106161","1","1",9,23.04,497.884
"683","106161","1","1",11,8,497.884
"684","106161","1","1",12,3.44,497.884
"685","106161","1","1",13,11,497.884
"686","106161","1","1",14,10,497.884
"687","106171","1","1",3,0.85,480.704
"688","106171","1","1",4,26,480.704
"689","106171","1","1",5,8.9,480.704
"690","106171","1","1",6,15,480.704
"691","106171","1","1",9,5.98,480.704
"692","106171","1","1",11,7.34,480.704
"693","106171","1","1",12,2.55,480.704
"694","106171","1","1",13,4,480.704
"695","106171","2","1",3,56.31,480.704
"696","106171","2","1",4,13,480.704
"697","106171","2","1",6,15,480.704
"698","106171","2","1",7,3.29,480.704
"699","106171","2","1",9,10.75,480.704
"700","106171","2","1",12,4.45,480.704
"701","106171","2","1",13,6.45,480.704
"702","107021","1","1",3,1.29,612.554
"703","107021","1","1",4,29.41,612.554
"704","107021","1","1",13,30,612.554
"705","107021","2","1",3,39.33,612.554
"706","107021","2","1",7,3.36,612.554
"707","107021","2","1",8,5,612.554
"708","107021","2","1",9,3.54,612.554
"709","107021","2","1",11,1.1,612.554
"710","107031","1","1",3,5.05,71.9
"711","107031","1","1",4,5,71.9
"712","107031","1","1",5,9.3,71.9
"713","107031","1","1",12,1.5,71.9
"714","107051","1","1",3,5.37,341.688
"715","107051","1","1",4,7.95,341.688
"716","107051","1","1",6,0.4,341.688
"717","107051","1","1",10,29.99,341.688
"718","107051","1","1",12,3.6,341.688
